cms_prescription_counts,provider_variables,npi
"{'CARBIDOPA-LEVODOPA': 41, 'VESICARE': 18, 'FAMOTIDINE': 12, 'PERPHENAZINE': 38, 'DIAZEPAM': 19, 'FINASTERIDE': 18, 'NAMENDA': 48, 'AMMONIUM LACTATE': 52, 'WARFARIN SODIUM': 50, 'HYDROCODONE-ACETAMINOPHEN': 31, 'HYDROCHLOROTHIAZIDE': 23, 'GEMFIBROZIL': 12, 'LOSARTAN-HYDROCHLOROTHIAZIDE': 19, 'TERAZOSIN HCL': 12, 'OXYCODONE-ACETAMINOPHEN': 42, 'METFORMIN HCL': 64, 'NEXIUM': 38, 'CITALOPRAM HBR': 13, 'ATENOLOL': 49, 'LACTULOSE': 14, 'VOLTAREN': 18, 'GABAPENTIN': 54, 'OMEPRAZOLE': 92, 'METOPROLOL TARTRATE': 69, 'METHIMAZOLE': 11, 'AMITRIPTYLINE HCL': 12, 'QUETIAPINE FUMARATE': 32, 'AMLODIPINE BESYLATE': 79, 'CARVEDILOL': 24, 'PREDNISONE': 14, 'MECLIZINE HCL': 21, 'GLIPIZIDE ER': 20, 'PANTOPRAZOLE SODIUM': 14, 'SYNTHROID': 19, 'ENALAPRIL MALEATE': 30, 'NYSTATIN-TRIAMCINOLONE': 19, 'CLONIDINE': 14, 'LISINOPRIL': 57, 'LEVOTHYROXINE SODIUM': 50, 'JANUVIA': 21, 'LEVETIRACETAM': 12, 'ADVAIR DISKUS': 22, 'NYSTATIN': 22, 'OXYBUTYNIN CHLORIDE ER': 32, 'ATORVASTATIN CALCIUM': 60, 'IBUPROFEN': 19, 'NITROFURANTOIN': 13, 'CIPROFLOXACIN HCL': 24, 'ZOLPIDEM TARTRATE': 17, 'DIOVAN': 15, 'OXYCODONE HCL': 22, 'MIRTAZAPINE': 11, 'RANITIDINE HCL': 12, 'PRADAXA': 13, 'TAMSULOSIN HCL': 58, 'METOPROLOL SUCCINATE': 68, 'KEPPRA': 22, 'BENZTROPINE MESYLATE': 22, 'LISINOPRIL-HYDROCHLOROTHIAZIDE': 11, 'TRAZODONE HCL': 21, 'CLOTRIMAZOLE-BETAMETHASONE': 13, 'TEMAZEPAM': 29, 'LEVOFLOXACIN': 37, 'NYSTOP': 47, 'ISOSORBIDE MONONITRATE ER': 23, 'LIDODERM': 43, 'FUROSEMIDE': 182, 'LORAZEPAM': 23, 'LOSARTAN POTASSIUM': 38, 'CLOPIDOGREL': 49, 'RISPERIDONE': 26, 'DONEPEZIL HCL': 78, 'ANASTROZOLE': 19, 'BETAMETHASONE VALERATE': 11, 'SERTRALINE HCL': 38, 'DIGOX': 12, 'SIMVASTATIN': 158, 'HALOPERIDOL': 26, 'VENLAFAXINE HCL ER': 11, 'ALPRAZOLAM': 13, 'OLANZAPINE': 15, 'MELOXICAM': 18, 'MONTELUKAST SODIUM': 17, 'VITAMIN D2': 21}","{'settlement_type': 'non-urban', 'generic_rx_count': 2369, 'specialty': 'Adult Health', 'years_practicing': 5, 'gender': 'F', 'region': 'Northeast', 'brand_name_rx_count': 357}",1134387004
"{'MONTELUKAST SODIUM': 16, 'OMEPRAZOLE': 17, 'AMLODIPINE BESYLATE': 35, 'PRAVASTATIN SODIUM': 48, 'DONEPEZIL HCL': 15, 'MELOXICAM': 30, 'GLIMEPIRIDE': 13, 'METHYLPREDNISOLONE': 20, 'GABAPENTIN': 24, 'ATORVASTATIN CALCIUM': 20, 'SIMVASTATIN': 21, 'HYDROCHLOROTHIAZIDE': 16, 'LOSARTAN-HYDROCHLOROTHIAZIDE': 11, 'SYNTHROID': 44, 'FENOFIBRATE': 16, 'AZITHROMYCIN': 17, 'CITALOPRAM HBR': 23, 'CRESTOR': 17, 'METFORMIN HCL': 11, 'LISINOPRIL': 51, 'LEVOTHYROXINE SODIUM': 51}","{'settlement_type': 'non-urban', 'generic_rx_count': 455, 'specialty': 'Adult Health', 'years_practicing': 1, 'gender': 'F', 'region': 'South', 'brand_name_rx_count': 61}",1508100512
"{'SAPHRIS': 11, 'FLUOXETINE HCL': 11, 'CLONAZEPAM': 11, 'LORAZEPAM': 13, 'QUETIAPINE FUMARATE': 12, 'OLANZAPINE': 18, 'AMPHETAMINE SALT COMBO': 23, 'SERTRALINE HCL': 15, 'LUNESTA': 12, 'LITHIUM CARBONATE': 41, 'LAMOTRIGINE': 32, 'TRAZODONE HCL': 12, 'ABILIFY': 13, 'SEROQUEL': 36}","{'settlement_type': 'non-urban', 'generic_rx_count': 165, 'specialty': 'Psychiatry', 'years_practicing': 7, 'gender': 'M', 'region': 'South', 'brand_name_rx_count': 95}",1528000197
"{'ADCIRCA': 448, 'QVAR': 26, 'DALIRESP': 27, 'SILDENAFIL': 48, 'ZOLPIDEM TARTRATE': 13, 'PREDNISONE': 128, 'GLASSIA': 13, 'PROAIR HFA': 71, 'LETAIRIS': 188, 'METHOTREXATE': 18, 'XOPENEX HFA': 11, 'TUDORZA PRESSAIR': 12, 'ARALAST NP': 50, 'REVATIO': 11, 'TRACLEER': 268, 'SPIRIVA': 166, 'VENTAVIS': 12, 'ADVAIR DISKUS': 111, 'SYMBICORT': 45, 'ALPRAZOLAM': 13, 'POTASSIUM CHLORIDE': 16, 'FUROSEMIDE': 127, 'AZITHROMYCIN': 25, 'TORSEMIDE': 29, 'FLUTICASONE PROPIONATE': 19, 'SPIRONOLACTONE': 149, 'MONTELUKAST SODIUM': 66}","{'settlement_type': 'non-urban', 'generic_rx_count': 651, 'specialty': 'Pulmonary Disease', 'years_practicing': 7, 'gender': 'M', 'region': 'South', 'brand_name_rx_count': 1459}",1730137597
"{'SUPREP': 54, 'WELCHOL': 44, 'PREVACID': 12, 'LANSOPRAZOLE': 22, 'NEXIUM': 260, 'LIALDA': 21, 'AMOXICILLIN': 13, 'BUDESONIDE EC': 17, 'ERYTHROCIN STEARATE': 13, 'DEXILANT': 83, 'RANITIDINE HCL': 436, 'HYDROCODONE-ACETAMINOPHEN': 14, 'COLESTIPOL HCL': 46, 'DIPHENOXYLATE-ATROPINE': 43, 'BALSALAZIDE DISODIUM': 20, 'CLARITHROMYCIN': 13, 'PENTASA': 36, 'METRONIDAZOLE': 87, 'ACIPHEX': 18, 'DICYCLOMINE HCL': 193, 'LACTULOSE': 20, 'OMEPRAZOLE': 470, 'AMITIZA': 20, 'CIPROFLOXACIN HCL': 14, 'HUMIRA': 13, 'FAMOTIDINE': 20, 'ONDANSETRON HCL': 91, 'AZATHIOPRINE': 11, 'APRISO': 20, 'METHSCOPOLAMINE BROMIDE': 80, 'POLYETHYLENE GLYCOL 3350': 88, 'FLUCONAZOLE': 12, 'ASACOL': 14, 'CARAFATE': 22, 'PROMETHAZINE HCL': 42, 'SUCRALFATE': 30, 'CREON': 11, 'PANTOPRAZOLE SODIUM': 124}","{'settlement_type': 'urban', 'generic_rx_count': 1906, 'specialty': 'Gastroenterology', 'years_practicing': 7, 'gender': 'M', 'region': 'South', 'brand_name_rx_count': 641}",1376519074
"{'LEVOXYL': 19, 'LEVOTHYROXINE SODIUM': 66, 'SYNTHROID': 200, 'SOMATULINE DEPOT': 12}","{'settlement_type': 'urban', 'generic_rx_count': 66, 'specialty': 'Diagnostic Radiology', 'years_practicing': 7, 'gender': 'M', 'region': 'South', 'brand_name_rx_count': 231}",1013955079
"{'VENTOLIN HFA': 103, 'DILTIAZEM 24HR ER': 12, 'ATROVENT HFA': 13, 'THEOPHYLLINE': 12, 'HYDROCODONE-ACETAMINOPHEN': 24, 'LOSARTAN POTASSIUM': 14, 'ROPINIROLE HCL': 88, 'PROAIR HFA': 228, 'NASONEX': 22, 'METFORMIN HCL': 34, 'CLONAZEPAM': 29, 'FORADIL': 15, 'OMEPRAZOLE': 174, 'DULERA': 15, 'ADVAIR HFA': 83, 'FAMOTIDINE': 187, 'SIMVASTATIN': 20, 'PREDNISONE': 101, 'NIFEDIPINE ER': 15, 'SYMBICORT': 77, 'PANTOPRAZOLE SODIUM': 26, 'POTASSIUM CHLORIDE': 39, 'FUROSEMIDE': 59, 'GLYBURIDE': 12, 'TRAMADOL HCL': 11, 'COMBIVENT': 28, 'SUCRALFATE': 11, 'ALPRAZOLAM': 49, 'LEVOTHYROXINE SODIUM': 36, 'LEVOFLOXACIN': 71, 'FLOVENT HFA': 11, 'NEXIUM': 51, 'AMOXICILLIN': 21, 'THEOPHYLLINE ANHYDROUS': 43, 'PAROXETINE HCL': 14, 'AMPHETAMINE SALT COMBO': 36, 'METHYLPHENIDATE HCL': 27, 'RANITIDINE HCL': 11, 'KLOR-CON M20': 16, 'SULFAMETHOXAZOLE-TRIMETHOPRIM': 11, 'ALENDRONATE SODIUM': 43, 'COMBIVENT RESPIMAT': 53, 'CRESTOR': 13, 'ZOLPIDEM TARTRATE': 35, 'PROVENTIL HFA': 25, 'PRAMIPEXOLE DIHYDROCHLORIDE': 26, 'NUVIGIL': 12, 'MODAFINIL': 26, 'TRIAMTERENE-HCTZ': 14, 'AMOX TR-POTASSIUM CLAVULANATE': 23, 'SPIRIVA': 119, 'METHYLPREDNISOLONE': 96, 'SERTRALINE HCL': 27, 'CIPROFLOXACIN HCL': 14, 'ADVAIR DISKUS': 175, 'MONTELUKAST SODIUM': 174, 'AZITHROMYCIN': 43, 'FLUTICASONE PROPIONATE': 52, 'AZELASTINE HCL': 11, 'CALCITONIN-SALMON': 19}","{'settlement_type': 'urban', 'generic_rx_count': 1731, 'specialty': 'Family', 'years_practicing': 7, 'gender': 'F', 'region': 'Midwest', 'brand_name_rx_count': 1118}",1447230826
"{'RISPERIDONE': 46, 'FLUOXETINE HCL': 44, 'CLONAZEPAM': 71, 'SEROQUEL XR': 17, 'PAROXETINE HCL': 37, 'AMPHETAMINE SALT COMBO': 23, 'CHLORPROMAZINE HCL': 12, 'MIRTAZAPINE': 29, 'ESCITALOPRAM OXALATE': 53, 'CYMBALTA': 30, 'ZIPRASIDONE HCL': 16, 'BENZTROPINE MESYLATE': 25, 'CITALOPRAM HBR': 56, 'TRAZODONE HCL': 92, 'GABAPENTIN': 18, 'SERTRALINE HCL': 62, 'BUSPIRONE HCL': 17, 'LORAZEPAM': 14, 'AMITRIPTYLINE HCL': 17, 'QUETIAPINE FUMARATE': 66, 'OLANZAPINE': 24, 'BUPROPION HCL SR': 31, 'SAPHRIS': 23, 'BUPROPION XL': 47, 'VENLAFAXINE HCL ER': 51, 'ALPRAZOLAM': 12, 'LITHIUM CARBONATE': 30, 'LAMOTRIGINE': 29, 'ABILIFY': 48, 'PROPRANOLOL HCL': 13}","{'settlement_type': 'non-urban', 'generic_rx_count': 912, 'specialty': 'Psychiatry', 'years_practicing': 7, 'gender': 'F', 'region': 'Northeast', 'brand_name_rx_count': 141}",1629134408
"{'AMOXICILLIN': 15, 'IBUPROFEN': 11, 'CHLORHEXIDINE GLUCONATE': 11}","{'settlement_type': 'urban', 'generic_rx_count': 37, 'specialty': 'General Practice', 'years_practicing': 6, 'gender': 'M', 'region': 'Midwest', 'brand_name_rx_count': 0}",1477677904
"{'LETROZOLE': 22, 'MEGESTROL ACETATE': 23, 'DEXAMETHASONE': 11, 'PROCHLORPERAZINE MALEATE': 36, 'OXYCODONE HCL': 17, 'WARFARIN SODIUM': 24, 'HYDROXYUREA': 41, 'HYDROCODONE-ACETAMINOPHEN': 35, 'DRONABINOL': 12, 'KLOR-CON M20': 11, 'ONDANSETRON HCL': 29, 'LEVOFLOXACIN': 11, 'MORPHINE SULFATE ER': 18, 'LEUKERAN': 17, 'LORAZEPAM': 21, 'LYRICA': 16, 'FOLIC ACID': 12, 'PREDNISONE': 38, 'GABAPENTIN': 28, 'ANAGRELIDE HCL': 19, 'PANTOPRAZOLE SODIUM': 15, 'TARCEVA': 11, 'SERTRALINE HCL': 19, 'ZYTIGA': 24}","{'settlement_type': 'non-urban', 'generic_rx_count': 431, 'specialty': 'Hematology & Oncology', 'years_practicing': 6, 'gender': 'M', 'region': 'South', 'brand_name_rx_count': 79}",1841347655
"{'METFORMIN HCL': 12, 'RISPERIDONE': 11, 'DIVALPROEX SODIUM ER': 11, 'CARBIDOPA-LEVODOPA': 12, 'LEVOTHYROXINE SODIUM': 28}","{'settlement_type': 'urban', 'generic_rx_count': 74, 'specialty': 'Family', 'years_practicing': 8, 'gender': 'F', 'region': 'West', 'brand_name_rx_count': 0}",1508847567
"{'GABAPENTIN': 14, 'HYDROCODONE-ACETAMINOPHEN': 49, 'METHOCARBAMOL': 24, 'TIZANIDINE HCL': 12, 'OXYCODONE-ACETAMINOPHEN': 13, 'DICLOFENAC SODIUM': 32, 'OXYCODONE HCL-ACETAMINOPHEN': 14, 'CARISOPRODOL': 11}","{'settlement_type': 'non-urban', 'generic_rx_count': 169, 'specialty': 'Medical', 'years_practicing': 1, 'gender': 'M', 'region': 'West', 'brand_name_rx_count': 0}",1740536804
"{'TRAMADOL HCL': 19, 'IBUPROFEN': 13, 'OXYCODONE-ACETAMINOPHEN': 14}","{'settlement_type': 'non-urban', 'generic_rx_count': 46, 'specialty': 'Family', 'years_practicing': 2, 'gender': 'F', 'region': 'Northeast', 'brand_name_rx_count': 0}",1275818338
{'AMOXICILLIN': 20},"{'settlement_type': 'non-urban', 'generic_rx_count': 20, 'specialty': 'General Practice', 'years_practicing': 6, 'gender': 'M', 'region': 'Midwest', 'brand_name_rx_count': 0}",1265588685
"{'CLOPIDOGREL': 23, 'CITALOPRAM HBR': 11}","{'settlement_type': 'non-urban', 'generic_rx_count': 34, 'specialty': 'Psychiatry', 'years_practicing': 7, 'gender': 'M', 'region': 'West', 'brand_name_rx_count': 0}",1992870836
"{'MORPHINE SULFATE ER': 112, 'LIDODERM': 20, 'TIZANIDINE HCL': 23, 'LYRICA': 14, 'MORPHINE SULFATE': 23, 'ROXICET': 20, 'OXYCONTIN': 58, 'CYCLOBENZAPRINE HCL': 32, 'OXYCODONE HCL': 300, 'FENTANYL': 12, 'GABAPENTIN': 75, 'HYDROCODONE-ACETAMINOPHEN': 203, 'METHOCARBAMOL': 12, 'OXYCODONE-ACETAMINOPHEN': 82, 'ENDOCET': 16, 'TRAMADOL HCL': 42, 'LIDOCAINE': 30, 'OXYCODONE HCL-ACETAMINOPHEN': 45, 'CARISOPRODOL': 11}","{'settlement_type': 'non-urban', 'generic_rx_count': 1002, 'specialty': 'Medical', 'years_practicing': 2, 'gender': 'F', 'region': 'West', 'brand_name_rx_count': 128}",1447536180
"{'CALCIUM ACETATE': 15, 'ALLOPURINOL': 13, 'LABETALOL HCL': 14, 'AMLODIPINE BESYLATE': 35, 'RENVELA': 11, 'SENSIPAR': 26, 'LOSARTAN POTASSIUM': 19, 'ATORVASTATIN CALCIUM': 26, 'CALCITRIOL': 41, 'POLYETHYLENE GLYCOL 3350': 11, 'PREDNISONE': 13, 'FUROSEMIDE': 27, 'METOPROLOL TARTRATE': 29, 'SPIRONOLACTONE': 14, 'LISINOPRIL': 30, 'METOPROLOL SUCCINATE': 14}","{'settlement_type': 'non-urban', 'generic_rx_count': 301, 'specialty': 'Nephrology', 'years_practicing': 8, 'gender': 'M', 'region': 'Northeast', 'brand_name_rx_count': 37}",1821089590
"{'CEPHALEXIN': 15, 'HYDROCODONE-ACETAMINOPHEN': 42, 'PREDNISONE': 11}","{'settlement_type': 'urban', 'generic_rx_count': 68, 'specialty': 'Medical', 'years_practicing': 5, 'gender': 'M', 'region': 'Northeast', 'brand_name_rx_count': 0}",1417117615
"{'MEGESTROL ACETATE': 32, 'DEXAMETHASONE': 121, 'ENOXAPARIN SODIUM': 67, 'ONDANSETRON ODT': 11, 'CLOBETASOL PROPIONATE': 41, 'OXYCODONE-ACETAMINOPHEN': 156, 'GABAPENTIN': 32, 'WARFARIN SODIUM': 13, 'HYDROCODONE-ACETAMINOPHEN': 48, 'PREMARIN': 33, 'SULFAMETHOXAZOLE-TRIMETHOPRIM': 16, 'NYSTATIN-TRIAMCINOLONE': 32, 'METFORMIN HCL': 12, 'KLOR-CON M20': 42, 'NYSTATIN': 25, 'ONDANSETRON HCL': 98, 'PEG-3350 AND ELECTROLYTES': 38, 'IMIPRAMINE HCL': 14, 'PROMETHAZINE HCL': 68, 'LORAZEPAM': 85, 'ESTRADIOL': 45, 'ZOLPIDEM TARTRATE': 70, 'MINIVELLE': 11, 'FENTANYL': 18, 'SERTRALINE HCL': 51, 'CIPROFLOXACIN HCL': 30, 'SIMVASTATIN': 11, 'DETROL LA': 20, 'FLUCONAZOLE': 23, 'POTASSIUM CHLORIDE': 23, 'FUROSEMIDE': 27, 'HYDROMORPHONE HCL': 81, 'GAVILYTE-G': 19, 'SPIRONOLACTONE': 31, 'PANTOPRAZOLE SODIUM': 28, 'LISINOPRIL': 13, 'LEVOTHYROXINE SODIUM': 11}","{'settlement_type': 'non-urban', 'generic_rx_count': 1371, 'specialty': 'Gynecologic Oncology', 'years_practicing': 7, 'gender': 'M', 'region': 'South', 'brand_name_rx_count': 125}",1861592339
"{'AMOXICILLIN': 113, 'ACETAMINOPHEN-CODEINE': 21, 'CLINDAMYCIN HCL': 14, 'HYDROCODONE-ACETAMINOPHEN': 62}","{'settlement_type': 'urban', 'generic_rx_count': 210, 'specialty': 'General Practice', 'years_practicing': 6, 'gender': 'M', 'region': 'West', 'brand_name_rx_count': 0}",1366561060
"{'AGGRENOX': 11, 'TRIFLUOPERAZINE HCL': 11, 'LORAZEPAM': 12, 'PERPHENAZINE': 12, 'DIAZEPAM': 13, 'AMLODIPINE BESYLATE': 13, 'FUROSEMIDE': 14, 'ATORVASTATIN CALCIUM': 13, 'ACETAMINOPHEN-CODEINE': 16, 'HALOPERIDOL': 15, 'LEVOTHYROXINE SODIUM': 11, 'TRIAMTERENE-HCTZ': 11, 'BENZTROPINE MESYLATE': 35, 'LITHIUM CARBONATE': 14, 'METOPROLOL TARTRATE': 11}","{'settlement_type': 'non-urban', 'generic_rx_count': 201, 'specialty': 'Psychiatry', 'years_practicing': 6, 'gender': 'M', 'region': 'Midwest', 'brand_name_rx_count': 11}",1073711370
"{'NYSTATIN-TRIAMCINOLONE': 22, 'VALACYCLOVIR': 12, 'FLUCONAZOLE': 18, 'SULFAMETHOXAZOLE-TRIMETHOPRIM': 15, 'ALENDRONATE SODIUM': 23}","{'settlement_type': 'urban', 'generic_rx_count': 90, 'specialty': ""Women's Health"", 'years_practicing': 7, 'gender': 'F', 'region': 'Midwest', 'brand_name_rx_count': 0}",1427168400
"{'CARVEDILOL': 44, 'SIMVASTATIN': 16, 'FUROSEMIDE': 15, 'CLOPIDOGREL': 103, 'METOPROLOL TARTRATE': 17, 'ATORVASTATIN CALCIUM': 22, 'LISINOPRIL': 31}","{'settlement_type': 'urban', 'generic_rx_count': 248, 'specialty': 'Medical', 'years_practicing': 7, 'gender': 'M', 'region': 'Midwest', 'brand_name_rx_count': 0}",1942267364
"{'BISOPROLOL FUMARATE': 13, 'VASCEPA': 12, 'DILTIAZEM 24HR ER': 23, 'COREG CR': 35, 'METOLAZONE': 16, 'KLOR-CON M20': 13, 'HYDRALAZINE HCL': 29, 'TOPROL XL': 58, 'JANTOVEN': 11, 'WARFARIN SODIUM': 358, 'NADOLOL': 16, 'ATORVASTATIN CALCIUM': 854, 'HYDROCHLOROTHIAZIDE': 114, 'LOSARTAN-HYDROCHLOROTHIAZIDE': 37, 'TERAZOSIN HCL': 17, 'FENOFIBRATE': 43, 'DILTIAZEM ER': 23, 'ELIQUIS': 15, 'CARTIA XT': 26, 'CRESTOR': 523, 'NEXIUM': 20, 'AMLODIPINE BESYLATE': 288, 'CHLORTHALIDONE': 48, 'NIACIN ER': 15, 'ENALAPRIL MALEATE': 78, 'ATENOLOL': 303, 'LOSARTAN POTASSIUM': 199, 'NIFEDICAL XL': 28, 'ZETIA': 528, 'NIFEDIPINE ER': 31, 'RAMIPRIL': 139, 'LEVOTHYROXINE SODIUM': 43, 'TRIAMTERENE-HCTZ': 11, 'FUROSEMIDE': 234, 'MICARDIS': 12, 'CLONIDINE HCL': 25, 'SPIRONOLACTONE': 117, 'NITROSTAT': 111, 'LISINOPRIL': 340, 'QUINAPRIL HCL': 101, 'ALLOPURINOL': 25, 'EFFIENT': 28, 'DILTIAZEM 24HR CD': 15, 'XARELTO': 24, 'NIASPAN': 102, 'PACERONE': 15, 'OMEPRAZOLE': 61, 'SYNTHROID': 15, 'RANITIDINE HCL': 14, 'PRADAXA': 92, 'MULTAQ': 45, 'EXFORGE': 16, 'COUMADIN': 31, 'DIOVAN': 155, 'TRILIPIX': 24, 'LISINOPRIL-HYDROCHLOROTHIAZIDE': 50, 'METOPROLOL TARTRATE': 104, 'AMLODIPINE BESYLATE-BENAZEPRIL': 20, 'BUMETANIDE': 26, 'METOPROLOL SUCCINATE': 156, 'ISOSORBIDE MONONITRATE ER': 90, 'WELCHOL': 11, 'EPLERENONE': 63, 'AMIODARONE HCL': 221, 'CLOPIDOGREL': 315, 'POTASSIUM CHLORIDE': 47, 'VYTORIN': 30, 'FENOFIBRIC ACID': 15, 'LOVASTATIN': 25, 'SERTRALINE HCL': 45, 'DIGOX': 87, 'SIMVASTATIN': 134, 'PRAVASTATIN SODIUM': 72, 'LOVAZA': 104, 'ALPRAZOLAM': 54, 'VALSARTAN-HYDROCHLOROTHIAZIDE': 66, 'TRICOR': 20, 'CARVEDILOL': 351}","{'settlement_type': 'non-urban', 'generic_rx_count': 5623, 'specialty': 'Cardiovascular Disease', 'years_practicing': 7, 'gender': 'M', 'region': 'South', 'brand_name_rx_count': 2191}",1770559650
"{'SUMATRIPTAN SUCCINATE': 24, 'OXCARBAZEPINE': 18, 'CLONAZEPAM': 29, 'TRIHEXYPHENIDYL HCL': 60, 'NOVOLOG': 12, 'DEPAKOTE': 12, 'NAMENDA': 74, 'CARBIDOPA-LEVODOPA': 58, 'RIZATRIPTAN': 13, 'FLUPHENAZINE HCL': 12, 'VIMPAT': 13, 'CARBIDOPA-LEVODOPA ER': 22, 'CARBIDOPA-LEVODOPA-ENTACAPONE': 17, 'FELBAMATE': 41, 'DIVALPROEX SODIUM': 123, 'INSULIN SYRINGE': 12, 'AMITRIPTYLINE HCL': 64, 'QUETIAPINE FUMARATE': 11, 'PHENOBARBITAL': 68, 'EPITOL': 11, 'CARBAMAZEPINE': 119, 'MECLIZINE HCL': 29, 'PYRIDOSTIGMINE BROMIDE': 20, 'CARBAMAZEPINE XR': 11, 'ALENDRONATE SODIUM': 12, 'TRAMADOL HCL': 31, 'LANTUS': 12, 'PROPRANOLOL HCL': 54, 'ZONISAMIDE': 46, 'LEVETIRACETAM': 440, 'EXELON': 31, 'AMPYRA': 20, 'ENTACAPONE': 16, 'BENZTROPINE MESYLATE': 22, 'DICLOFENAC SODIUM': 58, 'TRAZODONE HCL': 16, 'DIVALPROEX SODIUM ER': 25, 'PRIMIDONE': 42, 'JANUVIA': 12, 'PRAMIPEXOLE DIHYDROCHLORIDE': 91, 'IBUPROFEN': 11, 'LORAZEPAM': 23, 'AVONEX PEN': 22, 'MODAFINIL': 12, 'RISPERIDONE': 44, 'DONEPEZIL HCL': 79, 'HYDROCODONE-ACETAMINOPHEN': 31, 'GABAPENTIN': 78, 'MELOXICAM': 26, 'HALOPERIDOL': 13, 'REBIF': 53, 'REBIF REBIDOSE': 15, 'AMANTADINE': 12, 'ALPRAZOLAM': 37, 'PHENYTOIN SODIUM EXTENDED': 117, 'LAMOTRIGINE': 236, 'CABERGOLINE': 11, 'TOPIRAMATE': 192}","{'settlement_type': 'urban', 'generic_rx_count': 2514, 'specialty': 'Neurology', 'years_practicing': 5, 'gender': 'M', 'region': 'South', 'brand_name_rx_count': 299}",1871764241
"{'CEPHALEXIN': 84, 'AMOXICILLIN': 21, 'HYDROCODONE-ACETAMINOPHEN': 44}","{'settlement_type': 'non-urban', 'generic_rx_count': 149, 'specialty': 'General Practice', 'years_practicing': 7, 'gender': 'M', 'region': 'South', 'brand_name_rx_count': 0}",1346308129
{'AMOXICILLIN': 19},"{'settlement_type': 'urban', 'generic_rx_count': 19, 'specialty': 'General Practice', 'years_practicing': 7, 'gender': 'F', 'region': 'South', 'brand_name_rx_count': 0}",1396836458
"{'CEFAZOLIN SODIUM': 24, 'DOXYCYCLINE HYCLATE': 23, 'CEFTRIAXONE': 34, 'CUBICIN': 24, 'SULFAMETHOXAZOLE-TRIMETHOPRIM': 16}","{'settlement_type': 'non-urban', 'generic_rx_count': 97, 'specialty': 'Infectious Disease', 'years_practicing': 6, 'gender': 'F', 'region': 'Northeast', 'brand_name_rx_count': 24}",1548475247
